,vote,before_90s,90s,2000s,movie,other,tv movie,video movie,Action,Documentary,Comedy,Drama,Thriller,Romance,Other_genre,United States,United Kingdom,France,Other_country,English,Other_language,rating_category
156,-1.2176687371800943,0.0,1.0,0.0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,top_10pct
158,-1.5656690908616682,0.0,0.0,1.0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,bottom_25pct
159,-0.17366767613537296,1.0,0.0,0.0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,other
160,0.8703333849093484,0.0,0.0,1.0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,0,bottom_25pct
161,-0.8696683834985205,0.0,1.0,0.0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,bottom_25pct
162,1.218333738590922,1.0,0.0,0.0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,other
163,0.5223330312277746,0.0,1.0,0.0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,other
164,-0.17366767613537296,0.0,0.0,1.0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,bottom_25pct
165,1.566334092272496,1.0,0.0,0.0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,top_10pct
166,0.5223330312277746,1.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,bottom_25pct
167,-0.5216680298169467,0.0,1.0,0.0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,other
168,-0.8696683834985205,0.0,0.0,1.0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,bottom_25pct
171,1.218333738590922,0.0,1.0,0.0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,bottom_25pct
173,-1.5656690908616682,0.0,0.0,1.0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,other
175,1.218333738590922,0.0,0.0,1.0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,other
176,0.17433267754620083,0.0,1.0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,top_10pct
178,-0.17366767613537296,0.0,1.0,0.0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,other
179,-0.8696683834985205,0.0,0.0,1.0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,bottom_25pct
180,1.566334092272496,0.0,1.0,0.0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,other
181,-0.17366767613537296,0.0,0.0,1.0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,bottom_25pct
182,1.218333738590922,0.0,0.0,1.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,other
184,-0.5216680298169467,1.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,other
189,-0.17366767613537296,1.0,0.0,0.0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,other
192,-1.5656690908616682,1.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,other
194,1.566334092272496,0.0,0.0,1.0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,other
195,1.566334092272496,0.0,1.0,0.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,top_10pct
196,1.566334092272496,0.0,1.0,0.0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,top_10pct
198,-0.5216680298169467,0.0,1.0,0.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,top_10pct
199,0.17433267754620083,1.0,0.0,0.0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,top_10pct
200,-1.2176687371800943,0.0,0.0,1.0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,other
202,0.8703333849093484,0.0,0.0,1.0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,other
203,-0.17366767613537296,0.0,1.0,0.0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,0,bottom_25pct
204,0.8703333849093484,0.0,0.0,1.0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,other
205,-1.5656690908616682,0.0,0.0,1.0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,top_10pct
206,-1.5656690908616682,0.0,0.0,1.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,top_10pct
209,-0.8696683834985205,0.0,0.0,1.0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,1,0,bottom_25pct
210,0.17433267754620083,0.0,1.0,0.0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,other
212,-1.5656690908616682,0.0,0.0,1.0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,bottom_25pct
213,0.8703333849093484,1.0,0.0,0.0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,other
214,-0.8696683834985205,1.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,other
217,-0.8696683834985205,0.0,1.0,0.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,other
218,0.8703333849093484,1.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,bottom_25pct
219,-1.2176687371800943,0.0,0.0,1.0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,1,0,bottom_25pct
223,-1.5656690908616682,0.0,0.0,1.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,bottom_25pct
